1	0000000001	0000000002-001
2	0000000002-011	0000000026
3	0000000003-001	0000000037
4	0000000004-001	0000000044
5	0000000005-001	0000000060
6	0000000006-001	0000000068
7	0000000007-001	0000000074
8	0000000007-011	0000000088
9	0000000008-001	0000000102
a	0000000944	0000008389
e	0000000225	0000000307	0000000665	0000000722	0000000819	0000000822	0000000889	0000000921	0000000943	0000000944	0000001060	0000001089	0000001147	0000001246	0000001483	0000001499	0000001517	0000001801	0000001809	0000001838	0000002254	0000002313	0000002481	0000002533	0000002711	0000003037	0000003283	0000003629	0000004442	0000004801	0000005087	0000006401	0000006482	0000006797	0000007020	0000007180	0000007222	0000007246	0000007292	0000007665	0000007819	0000007823	0000007934	0000008074	0000008202	0000008351	0000008388	0000008389	0000008437	0000008659	0000008676	0000008677	0000008743	0000009081	0000009100	0000009200	0000009235	0000009430
i	0000000747
〓	0000000010	0000000012	0000000019	0000000024	0000000032	0000000039	0000000042	0000000057	0000000066	0000000090	0000000095	0000000100	0000000101	0000000104	0000000107	0000000116	0000000132	0000000168	0000000179	0000000214	0000000221	0000000241	0000000266	0000000270	0000000324	0000000328	0000000344	0000000346	0000000355	0000000382	0000000386	0000000393	0000000402	0000000403	0000000410	0000000432	0000000433	0000000435	0000000444	0000000454	0000000456	0000000462	0000000463	0000000467	0000000479	0000000482	0000000484	0000000496	0000000506	0000000522	0000000526	0000000527	0000000534	0000000544	0000000550	0000000562	0000000563	0000000614	0000000625	0000000636	0000000637	0000000638	0000000651	0000000659	0000000681	0000000685	0000000686	0000000687	0000000688	0000000689	0000000690	0000000698	0000000701	0000000709	0000000727	0000000730	0000000733	0000000734	0000000749	0000000753	0000000756	0000000762	0000000775	0000000776	0000000777	0000000778	0000000790	0000000807	0000000808	0000000838	0000000855	0000000860	0000000906	0000000930	0000000935	0000000951	0000000954	0000000963	0000000975	0000000990	0000001012	0000001036	0000001061	0000001073	0000001074	0000001077	0000001090	0000001105	0000001118	0000001132	0000001133	0000001147	0000001166	0000001215	0000001228	0000001241	0000001251	0000001252	0000001269	0000001273	0000001281	0000001289	0000001290	0000001308	0000001309	0000001310	0000001311	0000001332	0000001347	0000001369	0000001376	0000001377	0000001378	0000001379	0000001380	0000001385	0000001387	0000001441	0000001445	0000001449	0000001462	0000001482	0000001492	0000001508	0000001512	0000001515	0000001532	0000001534	0000001551	0000001553	0000001557	0000001594	0000001612	0000001617	0000001624	0000001656	0000001659	0000001669	0000001675	0000001682	0000001683	0000001685	0000001697	0000001705	0000001706	0000001707	0000001739	0000001745	0000001747	0000001782	0000001820	0000001826	0000001833	0000001842	0000001873	0000001883	0000001900	0000001905	0000001918	0000001951	0000001954	0000001955	0000001965	0000001972	0000001976	0000001977	0000001986	0000002002	0000002007	0000002016	0000002025	0000002031	0000002034	0000002037	0000002044	0000002045	0000002051	0000002052	0000002057	0000002065	0000002078	0000002080	0000002085	0000002094	0000002098	0000002101	0000002111	0000002123	0000002146	0000002151	0000002172	0000002173	0000002174	0000002196	0000002226	0000002229	0000002233	0000002281	0000002283	0000002289	0000002313	0000002321	0000002324	0000002340	0000002341	0000002345	0000002359	0000002362	0000002365	0000002370	0000002385	0000002400	0000002411	0000002421	0000002436	0000002438	0000002440	0000002445	0000002456	0000002472	0000002483	0000002486	0000002488	0000002489	0000002505	0000002536	0000002539	0000002561	0000002576	0000002577	0000002589	0000002599	0000002603	0000002607	0000002621	0000002623	0000002624	0000002625	0000002634	0000002647	0000002654	0000002661	0000002674	0000002678	0000002688	0000002690	0000002697	0000002705	0000002719	0000002726	0000002727	0000002737	0000002754	0000002776	0000002784	0000002818	0000002830	0000002839	0000002840	0000002866	0000002870	0000002874	0000002896	0000002899	0000002920	0000002931	0000002935	0000002941	0000002959	0000002968	0000002974	0000002987	0000002990	0000002997	0000002999	0000003009	0000003018	0000003022	0000003023	0000003024	0000003039	0000003040	0000003041	0000003045	0000003046	0000003048	0000003049	0000003054	0000003059	0000003062	0000003075	0000003090	0000003094	0000003107	0000003115	0000003139	0000003143	0000003148	0000003156	0000003167	0000003174	0000003208	0000003224	0000003227	0000003253	0000003261	0000003265	0000003282	0000003327	0000003329	0000003353	0000003360	0000003383	0000003386	0000003387	0000003398	0000003401	0000003403	0000003422	0000003424	0000003429	0000003434	0000003436	0000003447	0000003466	0000003479	0000003486	0000003499	0000003502	0000003525	0000003533	0000003548	0000003550	0000003551	0000003554	0000003559	0000003565	0000003578	0000003579	0000003582	0000003586	0000003603	0000003609	0000003610	0000003612	0000003616	0000003652	0000003709	0000003743	0000003791	0000003794	0000003807	0000003820	0000003847	0000003867	0000003869	0000003883	0000003891	0000003896	0000003933	0000003956	0000003957	0000003962	0000003964	0000003967	0000003972	0000004004	0000004006	0000004010	0000004017	0000004025	0000004031	0000004034	0000004036	0000004051	0000004053	0000004056	0000004094	0000004120	0000004141	0000004143	0000004152	0000004156	0000004162	0000004177	0000004180	0000004181	0000004182	0000004188	0000004194	0000004199	0000004204	0000004207	0000004212	0000004222	0000004230	0000004250	0000004268	0000004270	0000004271	0000004274	0000004277	0000004281	0000004287	0000004295	0000004308	0000004319	0000004322	0000004334	0000004335	0000004336	0000004346	0000004357	0000004363	0000004366	0000004371	0000004372	0000004419	0000004420	0000004434	0000004436	0000004452	0000004464	0000004465	0000004469	0000004486	0000004487	0000004504	0000004507	0000004526	0000004553	0000004554	0000004569	0000004579	0000004581	0000004616	0000004627	0000004630	0000004632	0000004644	0000004648	0000004650	0000004651	0000004652	0000004653	0000004654	0000004670	0000004675	0000004676	0000004704	0000004716	0000004773	0000004793	0000004830	0000004840	0000004857	0000004858	0000004859	0000004882	0000004888	0000004936	0000004942	0000004953	0000005008	0000005014	0000005021	0000005027	0000005030	0000005052	0000005064	0000005080	0000005094	0000005109	0000005112	0000005129	0000005140	0000005150	0000005164	0000005168	0000005172	0000005176	0000005195	0000005209	0000005211	0000005225	0000005229	0000005230	0000005231	0000005232	0000005233	0000005251	0000005252	0000005260	0000005263	0000005265	0000005266	0000005279	0000005281	0000005306	0000005307	0000005312	0000005317	0000005322	0000005330	0000005332	0000005345	0000005355	0000005356	0000005390	0000005393	0000005422	0000005425	0000005431	0000005444	0000005459	0000005460	0000005461	0000005466	0000005470	0000005481	0000005484	0000005486	0000005490	0000005504	0000005519	0000005521	0000005528	0000005530	0000005533	0000005540	0000005552	0000005563	0000005589	0000005593	0000005605	0000005618	0000005620	0000005624	0000005629	0000005630	0000005636	0000005650	0000005664	0000005695	0000005704	0000005707	0000005717	0000005722	0000005737	0000005746	0000005748	0000005752	0000005760	0000005776	0000005779	0000005795	0000005797	0000005798	0000005800	0000005804	0000005815	0000005824	0000005852	0000005860	0000005871	0000005926	0000005929	0000005933	0000005934	0000005939	0000005941	0000005945	0000005949	0000005951	0000005955	0000005958	0000005961	0000005974	0000005978	0000005981	0000006003	0000006011	0000006022	0000006027	0000006036	0000006039	0000006040	0000006067	0000006072	0000006089	0000006096	0000006107	0000006127	0000006134	0000006141	0000006145	0000006152	0000006173	0000006177	0000006179	0000006207	0000006208	0000006211	0000006215	0000006217	0000006222	0000006224	0000006226	0000006255	0000006264	0000006268	0000006280	0000006281	0000006282	0000006283	0000006284	0000006286	0000006287	0000006288	0000006289	0000006290	0000006291	0000006292	0000006293	0000006294	0000006295	0000006296	0000006298	0000006299	0000006300	0000006301	0000006302	0000006303	0000006304	0000006305	0000006306	0000006307	0000006308	0000006309	0000006310	0000006311	0000006313	0000006314	0000006315	0000006316	0000006317	0000006318	0000006319	0000006320	0000006321	0000006322	0000006323	0000006324	0000006325	0000006326	0000006327	0000006328	0000006329	0000006330	0000006331	0000006332	0000006333	0000006334	0000006335	0000006336	0000006337	0000006338	0000006339	0000006340	0000006341	0000006342	0000006343	0000006344	0000006345	0000006346	0000006347	0000006348	0000006349	0000006350	0000006351	0000006352	0000006353	0000006354	0000006355	0000006356	0000006357	0000006358	0000006359	0000006360	0000006362	0000006363	0000006364	0000006366	0000006367	0000006368	0000006369	0000006370	0000006371	0000006372	0000006373	0000006374	0000006375	0000006376	0000006378	0000006379	0000006380	0000006381	0000006382	0000006383	0000006384	0000006385	0000006386	0000006387	0000006388	0000006389	0000006390	0000006391	0000006392	0000006393	0000006394	0000006395	0000006396	0000006397	0000006398	0000006399	0000006400	0000006401	0000006402	0000006403	0000006404	0000006405	0000006406	0000006407	0000006408	0000006409	0000006410	0000006411	0000006412	0000006413	0000006414	0000006415	0000006416	0000006417	0000006418	0000006419	0000006420	0000006421	0000006422	0000006423	0000006424	0000006425	0000006426	0000006428	0000006429	0000006430	0000006431	0000006432	0000006433	0000006434	0000006435	0000006436	0000006437	0000006438	0000006439	0000006440	0000006441	0000006442	0000006443	0000006444	0000006445	0000006446	0000006448	0000006449	0000006450	0000006451	0000006452	0000006453	0000006454	0000006455	0000006456	0000006457	0000006458	0000006459	0000006460	0000006461	0000006462	0000006463	0000006464	0000006465	0000006466	0000006467	0000006468	0000006469	0000006471	0000006473	0000006474	0000006475	0000006476	0000006478	0000006479	0000006480	0000006481	0000006482	0000006483	0000006484	0000006485	0000006486	0000006487	0000006488	0000006489	0000006490	0000006491	0000006492	0000006493	0000006494	0000006495	0000006496	0000006497	0000006498	0000006499	0000006500	0000006501	0000006502	0000006504	0000006505	0000006506	0000006507	0000006508	0000006509	0000006510	0000006511	0000006512	0000006513	0000006514	0000006515	0000006516	0000006517	0000006518	0000006519	0000006520	0000006521	0000006523	0000006524	0000006525	0000006526	0000006527	0000006528	0000006529	0000006530	0000006531	0000006532	0000006533	0000006534	0000006535	0000006536	0000006537	0000006538	0000006539	0000006540	0000006541	0000006542	0000006544	0000006545	0000006546	0000006547	0000006548	0000006550	0000006551	0000006553	0000006554	0000006555	0000006556	0000006557	0000006558	0000006559	0000006560	0000006561	0000006562	0000006563	0000006564	0000006565	0000006567	0000006568	0000006569	0000006570	0000006571	0000006572	0000006573	0000006575	0000006576	0000006577	0000006578	0000006580	0000006581	0000006582	0000006583	0000006584	0000006585	0000006586	0000006587	0000006588	0000006589	0000006590	0000006591	0000006592	0000006594	0000006595	0000006596	0000006597	0000006598	0000006599	0000006600	0000006601	0000006602	0000006603	0000006604	0000006605	0000006606	0000006607	0000006608	0000006609	0000006610	0000006611	0000006612	0000006613	0000006614	0000006615	0000006616	0000006617	0000006618	0000006619	0000006620	0000006621	0000006622	0000006623	0000006624	0000006625	0000006626	0000006627	0000006628	0000006629	0000006630	0000006631	0000006632	0000006633	0000006634	0000006635	0000006636	0000006638	0000006639	0000006640	0000006641	0000006642	0000006643	0000006644	0000006645	0000006647	0000006648	0000006649	0000006650	0000006651	0000006652	0000006653	0000006654	0000006655	0000006656	0000006657	0000006658	0000006660	0000006661	0000006662	0000006663	0000006665	0000006666	0000006667	0000006669	0000006670	0000006671	0000006672	0000006674	0000006675	0000006676	0000006677	0000006678	0000006679	0000006680	0000006681	0000006682	0000006683	0000006684	0000006685	0000006686	0000006687	0000006688	0000006689	0000006690	0000006691	0000006692	0000006693	0000006694	0000006696	0000006697	0000006698	0000006699	0000006700	0000006703	0000006706	0000006708	0000006709	0000006710	0000006711	0000006712	0000006714	0000006718	0000006725	0000006730	0000006740	0000006744	0000006784	0000006793	0000006804	0000006853	0000006861	0000006883	0000006886	0000006894	0000006907	0000006910	0000006916	0000006920	0000006922	0000006927	0000006931	0000006935	0000006937	0000006941	0000006951	0000006952	0000006959	0000006965	0000006982	0000007052	0000007058	0000007065	0000007088	0000007102	0000007112	0000007114	0000007117	0000007133	0000007135	0000007145	0000007168	0000007178	0000007181	0000007212	0000007216	0000007236	0000007237	0000007253	0000007259	0000007261	0000007277	0000007280	0000007282	0000007295	0000007299	0000007301	0000007307	0000007309	0000007310	0000007316	0000007317	0000007319	0000007320	0000007325	0000007326	0000007329	0000007335	0000007336	0000007338	0000007343	0000007350	0000007354	0000007372	0000007379	0000007382	0000007383	0000007405	0000007413	0000007414	0000007424	0000007425	0000007428	0000007433	0000007454	0000007457	0000007479	0000007482	0000007493	0000007494	0000007496	0000007512	0000007514	0000007536	0000007553	0000007575	0000007582	0000007622	0000007627	0000007632	0000007639	0000007645	0000007707	0000007711	0000007720	0000007730	0000007748	0000007749	0000007750	0000007751	0000007752	0000007753	0000007754	0000007757	0000007758	0000007759	0000007762	0000007766	0000007769	0000007773	0000007774	0000007775	0000007779	0000007781	0000007782	0000007784	0000007785	0000007787	0000007791	0000007794	0000007795	0000007796	0000007797	0000007798	0000007800	0000007802	0000007803	0000007804	0000007806	0000007814	0000007815	0000007816	0000007819	0000007820	0000007821	0000007824	0000007828	0000007830	0000007834	0000007835	0000007836	0000007837	0000007839	0000007842	0000007843	0000007844	0000007845	0000007846	0000007847	0000007852	0000007853	0000007856	0000007858	0000007861	0000007863	0000007864	0000007868	0000007871	0000007872	0000007874	0000007888	0000007889	0000007894	0000007896	0000007923	0000007924	0000007936	0000007952	0000007965	0000007968	0000007989	0000007991	0000008012	0000008057	0000008077	0000008097	0000008159	0000008185	0000008193	0000008219	0000008230	0000008232	0000008236	0000008241	0000008244	0000008267	0000008283	0000008292	0000008295	0000008304	0000008306	0000008310	0000008358	0000008407	0000008410	0000008433	0000008441	0000008442	0000008467	0000008470	0000008480	0000008481	0000008488	0000008492	0000008516	0000008557	0000008560	0000008569	0000008574	0000008579	0000008583	0000008595	0000008606	0000008608	0000008610	0000008611	0000008614	0000008615	0000008616	0000008617	0000008619	0000008620	0000008622	0000008623	0000008626	0000008628	0000008630	0000008634	0000008668	0000008690	0000008698	0000008721	0000008722	0000008723	0000008732	0000008736	0000008739	0000008741	0000008742	0000008743	0000008744	0000008756	0000008762	0000008777	0000008778	0000008779	0000008824	0000008832	0000008847	0000008854	0000008865	0000008872	0000008876	0000008877	0000008880	0000008881	0000008891	0000008893	0000008921	0000008923	0000008932	0000008974	0000008994	0000009021	0000009066	0000009070	0000009090	0000009111	0000009117	0000009127	0000009132	0000009133	0000009144	0000009153	0000009166	0000009192	0000009204	0000009220	0000009230	0000009252	0000009255	0000009297	0000009312	0000009313	0000009314	0000009316	0000009319	0000009320	0000009321	0000009323	0000009325	0000009326	0000009328	0000009332	0000009333	0000009334	0000009335	0000009349	0000009363	0000009389	0000009390	0000009392	0000009393	0000009394	0000009395	0000009396	0000009397	0000009399	0000009400	0000009420	0000009435
ア	0000000029	0000000084	0000000823	0000000943	0000000944	0000001246	0000001478	0000001517	0000001518	0000003283	0000004442	0000004801	0000006778	0000007110	0000008074	0000008165	0000008266	0000008351	0000008389	0000008470	0000009166
イ	0000000081	0000000093	0000000116	0000000131	0000000156	0000000170	0000000189	0000000257	0000000299	0000000301	0000000328	0000000644	0000000672	0000000796	0000000883	0000000884	0000000974	0000000978	0000001014	0000001085	0000001140	0000001146	0000001176	0000001207	0000001274	0000001400	0000001444	0000001458	0000001479	0000001480	0000001703	0000001849	0000001914	0000001943	0000001947	0000002028	0000002052	0000002096	0000002101	0000002102	0000002192	0000002222	0000002223	0000002278	0000002311	0000002366	0000002444	0000002487	0000002880	0000002894	0000002910	0000002990	0000003008	0000003081	0000003193	0000003284	0000003346	0000003347	0000003596	0000003730	0000003738	0000003815	0000003816	0000003954	0000003955	0000004008	0000004047	0000004088	0000004151	0000004268	0000004299	0000004350	0000004442	0000004461	0000004579	0000004707	0000004721	0000004778	0000004779	0000004802	0000004960	0000005018	0000005049	0000005123	0000005209	0000005259	0000005499	0000005718	0000005779	0000005780	0000005896	0000006026	0000006050	0000006062	0000006322	0000006359	0000006390	0000006402	0000006429	0000006478	0000006479	0000006561	0000006644	0000006689	0000006693	0000006694	0000006767	0000006779	0000006780	0000006817	0000006818	0000006841	0000006866	0000006969	0000006989	0000007052	0000007208	0000007209	0000007249	0000007290	0000007352	0000007429	0000007440	0000007550	0000007572	0000007765	0000007776	0000007810	0000007842	0000007858	0000007967	0000008008	0000008358	0000008611	0000008614	0000008617	0000008660	0000008722	0000008732	0000008751	0000008773	0000008898	0000009013	0000009023	0000009024	0000009078	0000009268	0000009270	0000009281	0000009346	0000009354
ウ	0000000076	0000000184	0000000219	0000000302	0000000343	0000000408	0000000725	0000000801	0000000809	0000001015	0000001040	0000001086	0000001177	0000001178	0000001563	0000001632	0000002144	0000002254	0000002388	0000002568	0000002879	0000003082	0000003194	0000003605	0000003723	0000004234	0000004324	0000004486	0000004580	0000004760	0000004912	0000005230	0000005386	0000005626	0000005927	0000006031	0000006056	0000006283	0000006361	0000007331	0000007750	0000007930	0000007939	0000008439	0000008490	0000008491	0000009207	0000009429
エ	0000000133	0000000189	0000000301	0000000421	0000000679	0000001143	0000001151	0000001339	0000001903	0000002046	0000002131	0000002233	0000002310	0000002370	0000002416	0000003147	0000003180	0000003522	0000003727	0000003820	0000003951	0000004150	0000004704	0000005308	0000005682	0000005822	0000006164	0000006383	0000006965	0000006969	0000007363	0000007777	0000008032	0000008436	0000008739
オ	0000000880	0000001015	0000001060	0000001178	0000001246	0000001709	0000001730	0000001817	0000002146	0000002254	0000002879	0000003605	0000003723	0000003818	0000003900	0000004234	0000004812	0000005733	0000006339	0000006361	0000006472	0000007939	0000008389	0000008439	0000008469	0000008731	0000009334
カ	0000000006	0000000030	0000000053	0000000064	0000000076	0000000104	0000000132	0000000158	0000000159	0000000160	0000000191	0000000192	0000000267	0000000295	0000000307	0000000464	0000000533	0000000601	0000000717	0000000772	0000000785	0000000786	0000000822	0000000823	0000000851	0000000852	0000000880	0000000886	0000000918	0000000919	0000000920	0000000947	0000000953	0000000983	0000001041	0000001042	0000001103	0000001147	0000001202	0000001275	0000001379	0000001389	0000001401	0000001405	0000001484	0000001535	0000001550	0000001655	0000001678	0000001775	0000001820	0000002018	0000002279	0000002451	0000002509	0000002569	0000002614	0000002854	0000002858	0000002861	0000002901	0000002993	0000003106	0000003145	0000003146	0000003147	0000003350	0000003396	0000003479	0000003518	0000003606	0000003614	0000003774	0000003901	0000003961	0000003962	0000004206	0000004246	0000004272	0000004350	0000004443	0000004521	0000004522	0000004583	0000004651	0000004761	0000004815	0000004919	0000005211	0000005235	0000005271	0000005289	0000005339	0000005342	0000005352	0000005399	0000005400	0000005452	0000005590	0000005683	0000005719	0000005758	0000005866	0000006077	0000006212	0000006236	0000006295	0000006325	0000006326	0000006399	0000006400	0000006431	0000006432	0000006480	0000006481	0000006694	0000006740	0000006754	0000006756	0000006822	0000006830	0000006844	0000006845	0000006846	0000006991	0000007036	0000007110	0000007180	0000007195	0000007227	0000007244	0000007245	0000007266	0000007313	0000007338	0000007379	0000007407	0000007433	0000007441	0000007452	0000007535	0000007554	0000007571	0000007667	0000007766	0000007821	0000007822	0000007896	0000007910	0000008111	0000008199	0000008200	0000008267	0000008517	0000008560	0000008671	0000008752	0000008793	0000008796	0000008816	0000008857	0000008858	0000008880	0000008902	0000008911	0000009080	0000009307
ガ	0000000158	0000000159	0000000225	0000000307	0000000722	0000000822	0000000823	0000000921	0000001090	0000001147	0000001499	0000001809	0000002146	0000002459	0000003107	0000003774	0000004372	0000004656	0000004704	0000004743	0000005073	0000005087	0000006189	0000006327	0000006401	0000006797	0000006844	0000006962	0000007020	0000007180	0000007181	0000007246	0000007441	0000007683	0000007757	0000008470	0000008743	0000008816	0000009166	0000009200
キ	0000000020	0000000063	0000000085	0000000135	0000000136	0000000197	0000000236	0000000257	0000000260	0000000365	0000000366	0000000453	0000000458	0000000505	0000000568	0000000678	0000000680	0000000700	0000000727	0000000854	0000000891	0000000916	0000000922	0000000988	0000000989	0000001062	0000001063	0000001064	0000001065	0000001109	0000001189	0000001220	0000001226	0000001250	0000001251	0000001284	0000001300	0000001311	0000001350	0000001380	0000001406	0000001415	0000001447	0000001500	0000001575	0000001576	0000001613	0000001628	0000001664	0000001692	0000001732	0000001736	0000001753	0000001763	0000001769	0000001822	0000001886	0000001888	0000001913	0000001926	0000001947	0000001986	0000001994	0000002005	0000002167	0000002176	0000002226	0000002259	0000002280	0000002347	0000002349	0000002469	0000002475	0000002510	0000002514	0000002602	0000002615	0000002666	0000002667	0000002730	0000002808	0000002829	0000002882	0000002893	0000002897	0000002899	0000002913	0000002962	0000002974	0000002994	0000003009	0000003010	0000003027	0000003058	0000003064	0000003065	0000003071	0000003084	0000003112	0000003151	0000003160	0000003172	0000003288	0000003353	0000003402	0000003443	0000003444	0000003482	0000003483	0000003484	0000003491	0000003540	0000003594	0000003596	0000003599	0000003620	0000003627	0000003668	0000003669	0000003694	0000003708	0000003709	0000003717	0000003741	0000003742	0000003823	0000003857	0000003907	0000004014	0000004088	0000004237	0000004268	0000004274	0000004275	0000004309	0000004325	0000004403	0000004477	0000004510	0000004561	0000004562	0000004618	0000004685	0000004732	0000004738	0000004875	0000004965	0000004977	0000004985	0000004997	0000005018	0000005100	0000005102	0000005142	0000005170	0000005175	0000005176	0000005205	0000005223	0000005224	0000005262	0000005272	0000005302	0000005347	0000005455	0000005501	0000005516	0000005628	0000005720	0000005721	0000005804	0000005902	0000005903	0000005922	0000005946	0000005965	0000006030	0000006149	0000006206	0000006285	0000006297	0000006436	0000006486	0000006505	0000006596	0000006680	0000006730	0000006733	0000006736	0000006741	0000006900	0000007052	0000007120	0000007132	0000007142	0000007153	0000007159	0000007167	0000007184	0000007223	0000007249	0000007250	0000007295	0000007339	0000007340	0000007388	0000007404	0000007442	0000007514	0000007530	0000007551	0000007552	0000007564	0000007572	0000007657	0000007688	0000007758	0000007813	0000007894	0000007922	0000008035	0000008169	0000008269	0000008372	0000008456	0000008483	0000008599	0000008600	0000008638	0000008639	0000008645	0000008646	0000008723	0000008763	0000008764	0000008774	0000008775	0000008776	0000008790	0000008847	0000008848	0000008860	0000008891	0000008953	0000008981	0000008988	0000009031	0000009103	0000009315	0000009336	0000009337	0000009424	0000009440
ギ	0000000136	0000000260	0000000307	0000000383	0000000395	0000000453	0000000596	0000000680	0000000727	0000001406	0000001447	0000001576	0000001640	0000001769	0000001821	0000001851	0000001878	0000001881	0000001886	0000001889	0000002475	0000002510	0000002770	0000002893	0000003027	0000003521	0000003599	0000003620	0000003627	0000003668	0000003742	0000004403	0000004748	0000005100	0000005153	0000005170	0000005175	0000005176	0000005916	0000005922	0000005965	0000006263	0000006437	0000006486	0000006665	0000006797	0000006915	0000007267	0000007353	0000007530	0000007564	0000007894	0000008169	0000008452	0000008645	0000008687	0000008774	0000008847	0000008989	0000009315	0000009424
